,PARKING_SPACE_ID,POST_ID,STREET_NAME,shape
3885,136059,671-01120,SOUTH PARK,POINT (-122.39483 37.78098)
3886,134343,600-06070,PACIFIC AVE,POINT (-122.40583 37.796978)
3888,134913,324-09500,BATTERY ST,POINT (-122.40132 37.800365)
3889,137374,339-02210,BERRY ST,POINT (-122.393974 37.775192)
3891,136019,650-08200,SACRAMENTO ST,POINT (-122.40673 37.793335)
3892,144850,542-01090,LARKIN ST,POINT (-122.41678 37.778996)
3893,138371,684-04042,TOWNSEND ST,POINT (-122.39793 37.774906)
3895,134729,500-07300,JACKSON ST,POINT (-122.40757 37.795944)
3896,159490,401-07150,ELLIS ST,POINT (-122.418274 37.784107)
3897,155870,401-02330,ELLIS ST,POINT (-122.41054 37.78508)
3898,137300,339-03410,BERRY ST,POINT (-122.39653 37.773174)
3899,133520,418-03270,FOLSOM ST,POINT (-122.39333 37.78807)
3900,135870,359-08250,CLAY ST,POINT (-122.40713 37.794113)
3903,162713,336-05130,BUSH ST,POINT (-122.40598 37.790436)
3904,162659,684-03475,TOWNSEND ST,POINT (-122.39607 37.77605)
3906,133172,831-02510,EMBARCADERO SOUTH,POINT (-122.39012 37.7913)
3908,164499,363-02150,COLUMBUS AVE,POINT (-122.40611 37.79737)
3909,145002,470-13290,HOWARD ST,POINT (-122.41384 37.774334)
3911,135251,720-05620,WASHINGTON ST,POINT (-122.40302 37.795616)
3912,139406,203-01240,03RD ST,POINT (-122.40144 37.78566)
3913,154728,614-03260,POST ST,POINT (-122.407845 37.78841)
3914,144668,400-03360,EDDY ST,POINT (-122.41379 37.783844)
3915,145000,568-12340,MISSION ST,POINT (-122.41407 37.776817)
3916,135434,520-05140,KEARNY ST,POINT (-122.404434 37.79314)
3917,155720,206-00270,06TH ST,POINT (-122.40945 37.78169)
3918,137538,330-03300,BRANNAN ST,POINT (-122.39271 37.781452)
3919,140147,418-07050,FOLSOM ST,POINT (-122.39907 37.78354)
3921,138901,463-01360,HAWTHORNE ST,POINT (-122.3969 37.78387)
3922,143864,563-03290,MCALLISTER ST,POINT (-122.41773 37.78027)
3923,163558,324-05040,BATTERY ST,POINT (-122.40044 37.79604)
3925,134591,328-03110,BEALE ST,POINT (-122.39243 37.788578)
3926,133832,561-00188,MAIN ST,POINT (-122.39595 37.792557)
3927,138090,330-05420,BRANNAN ST,POINT (-122.397675 37.777527)
3929,139068,651-00360,SANSOME ST,POINT (-122.40058 37.790817)
3930,134755,616-12030,POWELL ST,POINT (-122.409996 37.79571)
3931,145477,562-06260,MASON ST,POINT (-122.41029 37.789673)
3933,143580,206-01070,06TH ST,POINT (-122.40835 37.78081)
3934,134499,561-01080,MAIN ST,POINT (-122.39481 37.791645)
3935,161589,500-01120,JACKSON ST,POINT (-122.39891 37.79707)
3936,137132,471-08440,HARRISON ST,POINT (-122.400925 37.779873)
3938,136252,331-04670,BRYANT ST,POINT (-122.39515 37.781715)
3939,155364,686-01060,TURK ST,POINT (-122.41108 37.78323)
3940,131749,350-14080,CALIFORNIA ST,POINT (-122.41778 37.791008)
3941,144897,209-01540,09TH ST,POINT (-122.41358 37.775208)
3942,154631,444-03500,GRANT AVE,POINT (-122.40545 37.790207)
3943,131782,666-12240,SUTTER ST,POINT (-122.42079 37.787727)
3944,132683,864-04630,SPEAR ST,POINT (-122.38871 37.788372)
3946,133617,720-03160,WASHINGTON ST,POINT (-122.399254 37.79609)
3947,144726,210-03340,10TH ST,POINT (-122.412025 37.772064)
3948,155187,440-00210,GEARY ST,POINT (-122.40427 37.787804)
3950,144682,568-10490,MISSION ST,POINT (-122.40975 37.780025)
3951,161501,568-00020,MISSION ST,POINT (-122.392784 37.79365)
3953,131721,336-13190,BUSH ST,POINT (-122.4193 37.788746)
3954,155508,525-00310,KAPLAN LN,POINT (-122.39895 37.785007)
